a;b;c;d
Magnolan;Rosé;Rhubarbe cassis, pamplemousse zesté, champagne;Effet métallique, un peu oxyde de rose, artichaud, soufré, poire, pomme, rhubarbe, un peu boisé sec, cédré montant, pamplemousse, pétillant champagne cidre, litchi, le bouchon de champagne, carotte (une dans le paquet qui n’est pas très bonne), muguet, groseille à maqueraux
Manzanate;Fruité;Pomme, liquoreux éthéré, ananas fraise;Bonbon au fruit, framboise, eucalyptus, éthéré, haleine chewing gum, oxyde de rose, sucré, ananas, fusant, fraise, anesthésiant, couille de mammouth, disparaît au bout de 3 minutes, mauvaise grenadine, redbull, liquoreux, éther, fruité exotique indéfini
Méthyl dianthylis;Epicé;Girofle, fumé, vanillé, fleuri oeillet lys lilas glycine;Fleuri cuiré, phénolique, saumon, vanillé, cassie, daim, pistil de lys, marron glacé, poudré héliotrope, gaïac, carbo, chocolat nesquik, smecta, sent énormément la glycine, un peu le lilas mais surtout la glycine, c’est un poil trop vanillé pour la glycine
Méthyl hepténone;Fruité;Banane, citralé, céleri;"Très benzylé banane, isoamyle, arlequin, cheap, ça racle, côté citralé citronné, acidulé, coca, pétillant, soda, pétillant, colle, épicé, céleri, fromage, foin, peut aller vers fruité éxotique, lavandé
Citralé sans limites ifra, pas mal en gel douche, sort bien en bougie (l’île au thé : undécavertol / méthyl hepténone)"
Méthyl pamplemousse;Zesté;Pamplemousse, aromatique eucalyptus, fruité cassis, rosé;Pamplemousse, transpiration, orangé, vaisselle, cassis, soufré, règles, menthé, citronné, craie mouillée, pivoine, rosé, fruits rouges, mangue, cédré, poivré, terpénique, éthyl linalol, zeste, jus de framboise, gingembre, pois de senteur, thym, litchi, géranium, en arrière plan certains effets sandalore bacdanol
Musc cétone;Musqué;Poudré poussiéreux, fleuri indéfini, animal ronronnant, peau doux;Musc poudré, crayeux, anisé, soyeux, rond doux chaud orange, floral un peu indéfini, le fond des vieilles colognes, grésillant, suif, peau
Muscénone;Musqué;Musc nitré, santalé, anisé;Musqué, poudré, nitré, anisé, doux, peau, plus clair que la muscone, devient + blanc à l’évolution, plus perceptif, plus crémeux, crayonneux, âcre, poudré, animal, un peu du boisé des macrocycliques, un peu santalé
Muscone;Musqué;Musc nitré, vaporeux fleuri blanc, anisé, animal;Peau chauffée, musqué, fleuri blanc, anisé, poudré, pelage, cacahuète, poivron, poudré savonneux, vaporeux, texture velouté, plus noir
Musc T;Musqué;Fruité mûre, crayeux, animal;Musqué, poussiéreux, fruité mûre, subtilement pin, ténu, granuleux, vraiment fruité, un peu crayeux minéral sec (pas crémeux), subtilement nitré, peau de mandarine, un peu animal sale, fruité un peu terreux, un peu acidulé, un peu boisé
Nérol;Marin;Métallique, plastique, fleur d’oranger, rosé;Sac plastique, rose sous-cellophane, fruité mûre, protège-cahier, encre, mûre grain, fleur d’oranger, linalol, paille, crottin, narcisse, vert, fleur d’iris, citralé, groseille, fruit rouge, pois de senteur, ficus frais qu’on écrase entre les doigts
Nerolidol;Florale fraîche;Fleuri magnolia, boisé sec, fruité poire, vert;Floral transparent, délicat, un peu poire, boisé sec légèrement, un peu rhum mais vraiment transparent genre whisky japonais, ça sent la pluie, je ne sens pas grand-chose, pétrichor, vert délicat, sourd s’installe dans le temps, la peau de la mangue, un petit peu butyrique, alcool de poire de l’ambrette, vaguement agrume, aqueux de loin, mimosa, ça sent un peu la fleur de magnolia, certaines facettes du jasmonal, nérol ténu, fruité frais un peu vert (ananas, kiwi), côté gouache aussi
Cis-6-nonénal;Vert;Concombre pastèque, aldéhydé, vert de violette;Concombre, pastèque, eau douce, melon, eau de l’huître, métallique, punaise écrasée, violette, vert de violette. Lui est vraiment eau douce/melon là où le nonadiénal est + feuille de violette
Nootkatone;Zesté;Pamplemousse (sec confit), aromatique thym beuh, boisé vétiver, fruité rhubarbe;Pamplemousse séché, beuh, rhubarbe confite, vert boisé aromatique, marmelade, pelure de pomme, thym au début, poivré, poivre timut, lentille, infusion de tilleul verveine, vétiver, framboise, vin blanc sucré, encens
Octahydrocoumarine;Coumariné foin;Coco, menthé éther, figuier, graine;Coumariné, lacté, coco, figuier, eau de coco, graine, céleri, cardamome, cèdre, santal, calcaire, craie, détergent, éther, médicamenteux, riz, poussiéreux, mousse, algue, rocher coco, menthé, hyracéum, étable, foin, mimosa, spéculoos, noix chaude
Octalactone gamma;Fruité;Coco, juteux (jus de poire), carvi, figuier massoïa;Noix de coco liquide, menthé, fruit rouge, rosé, citralé, banane verte, jus de poire à fond, iris gras, bois de figuier chaud, suave, vraiment figuier
Octine carbonate de méthyle;Vert;Concombre, champignon, violette;Vert, concombre, violette, mimosa, fromage frais, peau de champignon, terreux, fruité, vapeur de fer chaud, caprique, aneth, estragon, herbe coupée fermentée, camomille, gardénia
Oranger cristallisé;Fleur d'oranger;Poussiéreux plâtreux, coumariné lacté, anthranylé fleuri fruité fraise, anisé;Poussiéreux, anthranylé, APE, juteux, un peu musqué, plâtre, lacté, doux rond, assez bloc, santalé, sourd et plat, fleuri visqueux, un peu coumariné, anisé, réglisse, guimauve, bâton d’esquimaux machouillé
Oxane;Soufré;Fruité cassis pamplemousse, alliacé poireaux, vert, amer;Poireaux, transpiration, ail, vert, fruit de la passion, cassis, pamplemousse, orange, certains conifères cyprès
Oxyde de rose L;Rosé;Métallique, thym vert poivron légume cuit, fruité cassis, pétrole;Oxyde de rose, métallique, poivré, artichaud, rouillé, couteau, lave-vaisselle, pêche, navet, rosé métallique, ozonique, champignon, fruité liquoreux, poivron, pétrole, coing, cirage, goyave
Paracrésol;Animal;Cheval, cuiré encre gouache, fleuri blanc animal jasmin;Poney, gouache, phénolique, cuir sec, plastique, feutre, protège-cahier, sucré maltol à fond, castoréum, poussiéreux, fleur blanche, pédiatre, salle d’attente, salé, marin
Patchone;Mousse moisi;Cave betterave, carotte iris, boisé chêne, vert;Poussiéreux, fût de chêne compact, cave humide, moisi, fromage de chèvre, oud, vert, un peu cashméran, musqué hyper compact, betterave, terre humide, irisé synthétique, marais, carotte, céleri, vert sève, chloré, plâtre humide, minéral, liège, vieux livres, cuiré, encre, grenade, menthé, partie blanche du pamplemousse, facette du costus, épicé m&thyl eugénol
Phenoxanol;Rosé;Fruité litchi mirabelle, pivoine géranium, pamplemousse rhubarbe;Fruité doux mignon mirabelle litchi rhubarbe, pharmaceutique arnica, rosé doux, pamplemousse, anisé, savonneux, eucalyptus, rose peau, pivoine croquant, gardénia, violette, géranium, vaguement muguet, mimosa, un peu ozonique vaporeux
Phénylacétate d’amyle;Miellé;Fruité pêche ananas, cacao, rosé, vinaigré;Miellé, pollen, rosé, chocolat, pêche, ananas, vinaigré, beurre, vanille, jacinthe
Phénylacétate de phényléthyle;Miellé;Rosé rose absolu, bière, vineux vinaigré;Phényléthylique + tapé et vineux, vraiment très vineux vinaigré, un peu vert jacinthe, marguerite toujours, fromage, un peu eau d’issey, plastique, eau de rose, pivoine, absolu de rose, cire d’abeille, balsamique, bière, côté miellé envol de cartier, champignon, pharmaceutique, seringa, genêt, karo-karoundé, s’essoufle vite mais tient bien dans le temps
Pinène alpha;Conifère terpénique;Carotte, camphré croquant, résine, vert croquant;Eucalyptus, terpénique, poussiéreux, sec, sapin, mentholé, cédré, très volatile 2min, coca cola, carotte
Propionate de benzyle;Fruité;Poire mirabelle, jasminé, indolé;Propionate + mirabelle prune qu’acétate + banane. Fruité poire, banane, acétate, vernis, prune, jasminé, tubéreuse, jacinthe, narcisse, indolé, frôle le butyrique
Rhodinol;Rosé;Citronnelle, plastique aldéhydé, pamplemousse, fruité artificiel;Citronellol, géraniol plus fruité, butyrique, métallique, géranium, aldéhydé, légume, fenuil,bonbon acidulé, poire chaude, plastique chaud, pamplemousse, cassis
Rhubofix;Zesté;Pamplemousse, Rhubarbe, conifère, lavandé bergamote;Pamplemousse, pin, eucalyptus, romarin, sapin, orange, vétiver, boisé, eucalyptol, cave, humide, linge mal séché, feuille de tomate, rhubarbe, vert, basilic, poivré, irisé plâtre, lavandé, ambroxan, verveine, ambré sec, conifère, punaise écrasée de l’iris, bergamote, cardamome
Rosacétol;Rosé;Fruité litchi, vert, crayeux poudré;Rosé, litchi, coing, pharmaceutique, vert, bulle rose
Rosalva;Rosé;Artichaud champignon, fruité poire farineux, aldéhydé vaporeux froid neige, vert violette;Lessiviel, pressing, fruité blanc genre poire pourrie, montant gras, cheapos, pomme, un peu vert violette octine mais moins impactant, un peu bougie, le farineux de la poire de ouf, goudron chaud en été, teinture cheveux, calcaire, minéral rocher humide, neige, laine, huile de tournesol, côté artichaud de la rose, pot pourri en déclin
Salicylate d’amyle;Balsamique;Vert, amer desséchant, solaire, mandarine anisé;Vert, poivron, piment, plastique, montant aigu, cellphane, un peu IBQ doux, raide, rapeux, salicylé, mandarine, rhubarbe, estragon, basilic, banane verte, céleri rave (boule de céleri, pas feuille), fuel, pot d’échappement, carburant combustion, thé sencha, carvi, goudron, encre, gouache
Salicylate de benzyle;Florale fraîche;Fleur blanche (jasmin, gardénia, lys), suave doux lumineux solaire, poudré;Floral blanc, doux, solaire, poudré, balsamique, jasmin, gardénia, lys, crinium (bahamas), frangipanier, plastique, oeillet
Salicylate de cis-3-hexenyle;Florale fraîche;Floral gardénia lys, fruité pomme poire raisin, vert, champignon;Salicylé, vert, raisin, jus de pomme, épicé, roquette, raisin sec, tabac, persil, marin, légumineuse, fève, damascone, minéral, champignon, fraise fraîche, fleur blanche, presque racine d’iris cru, glycine, muguet
Salicylate d’hexyle;Florale fraîche;Fleur blanche, oeillet, vert, marin plastique;Salicylé, vert, feutre weleda d’ardoise, plastique, un peu cuiré, banane, poireaux, fleurs blanches, laitue, solaire, fleuri, savonneux, doux, blanc d’oeuf, fruité poire, petit oeillet, fruité, un peu marin, anisé, fleur de jasmin sambac. Permet d’avoir de la fraîcheur en fond
Salicylate de méthyle;Agreste;Camphré mentholé pharmaceutique, goudron fumé, fleuri tubéreuse exotique, épicé girofle coriandre;Wintergreen, fleur d’oranger, plus lactoné, cuisine thaï, tubéreuse, placard à pharmacie, effet coriandre , mentholé, riz de paella, root beer, dr pepper, en trace dans une vanille (facilement maîtrisable)
Sandalore;Boisé;Santalé, musqué doux, farineux;Santal synthétique, rapeux, fenouil, fruit sec liquoreux, semoule pas cuite, poudré, café froid, un peu ibq, pamplemousse, musqué
Sandela;Boisé;Santalé, gras, fumé, baton d’encens hippie;Sourd, boisé coco faible, santalé, chocolat blanc, pignon de pain, plus proche du santal nat, crème au beurre, mais un peu sec aussi, papier gras
Stémone;Vert;Figue, menthé, feuille de tomate cassis soufré;(Labienoxime : cousin de la stémone dans Ninfeo Mio), grain de la figue, vert, un peu œuf et céleri, sève sucrée, thuya, soufré cassis menthe, épinard, moite, ortie, grinçant, feuille de tomate, lierre, buis, menthé, terre humide, moisi, fumé, rocher mouillé
Sulfurol;Soufré;Viande andouillette, lacté chaud, aminé thon;andouillette de vire, thon, rillette, poulet roti, bouffe pour chat, cacahuète, frein de voiture, ça sent l’effaceur, le liège, monster munch, vitamine B
Terpinéol alpha;Conifère terpénique;Fleuri lilas lavandé camphré, moisi mousse, chloré humide;Ethéré vaporeux, brume, hopital, fer chaud, détergent, cheap, éponge pour effacer tableau à l’école, citronelle mais très sec, camphré boisé, lilas vaguement, cire, encaustique, floral abstrait, coca cola, chloré
Timbérol;Boisé;Ambré, cèdre, cuiré, poussiéreux;Boisé ambré, crayeux, vieille ballerine, cuiré sec, poussiéreux, cirage, vieux livre, karanal, papier journal, garage, mousse evernyl, cuiré ibq, boisé plutôt cèdre, patafix, cacao
Tonalide;Musqué;Fruits rouges mûre, poudré platreux, terreux betterave;Musqué sec terreux, terre après la pluie, betterave, plâtreux, propre lessive, lessive en poudre
Trans 2 cis 6 nonadiénal;Vert;Concombre pastèque, iris blé semoule, crème fraîche;Concombre à fond, irisé, carotte, pastèque, violette (fleur et feuille), humide, aqueux eau douce, farineux, semoule, gras, blé, mimosa, germe de soja, crème fraîche
Tridécénitrile;Orangé aldéhydé;Gras lactoné, marin aqueux, mandarine, coriandre feuille;Marin, iodé, aldéhydé, aigre, sueur, vaporeux, huître, escargot, mandarine, minéral, rosé, lactone, feuille de coriandre, gingembre
Triplal;Vert;Feuille, menthé anisé, fruité vert pomme kiwi;Vert, gazon, feuille de tomate, menthé, essence, solvant, figuier, kiwi très vert, pomme, cerise, gras, huile d’olive verte amère, anisé, avocat au citron, cassis, pomme verte, jus d’orange frais, floral vert, rose verte
Undécavertol;Vert;Pastèque concombre, fruité pomme verte, farineux, légumineux;Vert violette, pastèque, champignon, melon, aqueux, transparent, doux, gras, marin, fleuri pivoine, marais, croquant, pomme verte, fleuri aqueux vert abstrait, concombre, mangue, lait de figuier, fade, farineux, mimosa cassie, feuille de cassis, thé (bougie l’ile aux thé), miellé, cage à oiseaux clapier, thé vert, potiron, artichaud cru, jus de raisin, anisé aneth
Valencène;Zesté;Peau d’agrume, fruité banane, vert;Banane pour homme, fruité vert, poire masculine, ananas, boisé, reflux gastrique, côté masculin cheap, gazon, balle de tennis wimbledon, kumqwat, arête saumon cuit, batonnet de carotte apéro, suze, peau d’agrume, navet, floral fleuriste, papier glacé, d’habitude + orange. Intéressant dans la formulation 100 % nat pour agrumes et fruités
Vanilline;Balsamique;Poudré amandé, fumé, cacao sucré lacté;Grosse vanille sucré, un peu cheap, fumé sucré, épicé direction girofle, jambon fumé sous plastique, amandé dragé, lacté, poudre de cacao, poudré chaud, boisé papier
Velvione;Musqué;Crayeux, animal nitré léger, boisé sec;Musqué, blanc, crayeux, sec, poudre blanche, craie, copeaux de cèdre santal, fruité mûre, moderne, propre linge, plâtreux, crémeux un peu froid, glace, un peu ambrette, cotonneux, une partie se révèle avec des effets nitrés animal en très soft, avec le temps devient un peu cuiré
Verdox;Fruité;Boisé cèdre, pétillant champagne, fruité pomme fruit rouge;Damascone en plus lacté et plus ionone, champagne, champignon, truffe assez fruité, carotte, iris, cèdre boisé, eucalyptus, poussiéreux bouilloire, épicé, sciure de bois, cagette pommes, cave
Vertenex;Boisé;Fruité poire, cèdre, violette, lavandé thé limonène;Cèdre et orange, pêche, cèdre liquide comme du cèdre dans du limonène, gazon de l’heure vertueuse, fruité un peu violette pomme, gazon, boisé ambré doux, acétate terpényle, un peu vert mimosa
Vertofix coeur;Boisé;Cèdre, encens, violette, ambré sec fumé;Cèdre, violette, terreux, anisé, sciure, carotte, bleu nuit, salé, farine du vétiver, doux musqué, encens, légèrement fumé, poivre, partie bleue des gommes à deux bords
Violettyne;Vert;Alliacé gaz, champignon, tébérenthine, violette;Vert de violette, aldéhydé, poireaux, artichaud, souffle, gaz, vert alliacé, violette, s’essoufle vite non ?, rosé, feuille, angélique, peau de mangue (térébenthine), genièvre baies, gin, huile d’olive verte, petite partie du litchi, caprique, ocimène, aiguille de sapin
Viridine;Vert;Champignon, jacinthe, miellé, agrume bergamote;Vert, soupe aux champignon, pétrole, bombe, tige, hyper vert, placard à jouets abandonné, houlous, plastique, radis, agrume (peau blanche), noir de bergamote, rosé, miellé
